iter	Passed	Remaining
0	174	173970
1	175	87535
2	176	58707
3	177	44314
4	180	35974
5	182	30246
6	183	26087
7	185	23031
8	187	20603
9	188	18650
10	189	17050
11	192	15847
12	194	14744
13	195	13768
14	198	13027
15	203	12545
16	205	11885
17	207	11300
18	208	10771
19	210	10291
20	211	9857
21	212	9454
22	214	9124
23	216	8802
24	218	8503
25	219	8238
26	221	7983
27	222	7737
28	224	7504
29	226	7335
30	228	7137
31	229	6952
32	231	6779
33	233	6645
34	235	6484
35	236	6331
36	237	6192
37	239	6068
38	240	5937
39	242	5823
40	244	5714
41	245	5602
42	247	5498
43	248	5394
44	249	5295
45	251	5208
46	252	5124
47	254	5041
48	255	4965
49	257	4899
50	259	4822
51	260	4752
52	262	4681
53	263	4615
54	264	4550
55	266	4487
56	267	4426
57	269	4371
58	270	4314
59	271	4258
60	273	4203
61	274	4156
62	276	4105
63	277	4056
64	278	4009
65	281	3979
66	282	3937
67	283	3885
68	284	3841
69	286	3802
70	287	3763
71	288	3724
72	290	3685
73	292	3654
74	295	3649
75	297	3611
76	298	3575
77	299	3543
78	301	3509
79	302	3475
80	304	3452
81	305	3423
82	307	3396
83	308	3366
84	309	3336
85	311	3311
86	312	3278
87	313	3251
88	315	3226
89	316	3204
90	318	3179
91	319	3157
92	321	3138
93	322	3112
94	324	3089
95	325	3066
96	326	3043
97	328	3020
98	329	2999
99	331	2982
100	332	2962
101	333	2936
102	334	2916
103	336	2895
104	337	2876
105	338	2857
106	340	2837
107	341	2820
108	343	2805
109	344	2788
110	345	2770
111	347	2751
112	348	2733
113	349	2718
114	351	2701
115	352	2684
116	353	2669
117	355	2655
118	356	2637
119	357	2621
120	358	2606
121	360	2591
122	361	2574
123	362	2560
124	363	2547
125	365	2535
126	366	2522
127	368	2507
128	369	2494
129	370	2480
130	372	2467
131	373	2454
132	374	2440
133	375	2428
134	377	2415
135	378	2405
136	380	2394
137	381	2385
138	383	2373
139	384	2361
140	385	2350
141	387	2341
142	388	2328
143	389	2316
144	391	2307
145	393	2299
146	394	2288
147	395	2275
148	396	2264
149	397	2253
150	399	2243
151	400	2233
152	407	2257
153	409	2250
154	412	2249
155	415	2245
156	416	2237
157	418	2229
158	420	2222
159	423	2225
160	425	2216
161	427	2212
162	429	2206
163	431	2200
164	433	2192
165	435	2187
166	438	2185
167	440	2181
168	448	2207
169	450	2198
170	451	2190
171	453	2182
172	454	2173
173	456	2166
