iter	Passed	Remaining
0	169	169448
1	171	85594
2	173	57511
3	174	43483
4	176	35102
5	178	29531
6	179	25477
7	180	22414
8	182	20045
9	183	18139
10	184	16577
11	185	15290
12	187	14219
13	188	13283
14	189	12465
15	191	11787
16	193	11164
17	194	10598
18	195	10090
19	196	9631
20	197	9225
21	199	8849
22	200	8507
23	201	8193
24	202	7902
25	203	7634
26	205	7392
27	206	7168
28	208	6964
29	209	6769
30	210	6590
31	212	6423
32	213	6261
33	214	6104
34	216	5956
35	217	5816
36	218	5688
37	220	5572
38	221	5453
39	222	5340
40	223	5231
41	225	5137
42	226	5039
43	227	4944
44	228	4853
45	229	4769
46	231	4686
47	232	4614
48	234	4544
49	235	4470
50	236	4399
51	237	4333
52	239	4270
53	240	4210
54	241	4157
55	243	4105
56	245	4055
57	247	4017
58	249	3971
59	250	3924
60	251	3876
61	253	3833
62	254	3791
63	256	3753
64	258	3714
65	259	3676
66	261	3643
67	263	3612
68	265	3580
69	267	3547
70	268	3512
71	269	3477
72	271	3444
73	272	3412
74	274	3382
75	275	3355
76	277	3328
77	279	3302
78	281	3276
79	282	3248
80	284	3222
81	285	3197
82	286	3165
83	288	3142
84	289	3119
85	291	3099
86	293	3081
87	295	3059
88	296	3038
89	298	3018
90	300	2997
91	301	2974
92	303	2957
93	304	2938
94	306	2917
95	307	2897
96	309	2878
97	310	2858
98	312	2839
99	313	2819
100	314	2802
101	316	2783
102	317	2769
103	319	2754
104	321	2737
105	322	2720
106	323	2703
107	325	2687
108	326	2670
109	328	2657
110	330	2645
111	332	2634
112	333	2621
113	335	2606
114	336	2591
115	338	2578
116	339	2563
117	341	2550
118	342	2537
119	344	2523
120	345	2510
121	347	2500
122	349	2489
123	350	2477
124	352	2465
125	353	2454
126	355	2444
127	357	2432
128	359	2423
129	360	2415
130	362	2406
131	364	2395
132	365	2384
133	367	2374
134	369	2364
135	370	2355
136	372	2344
137	373	2335
138	375	2325
139	377	2318
140	379	2309
141	380	2296
142	381	2287
143	383	2277
144	384	2267
